command,mean,stddev,median,user,system,min,max,parameter_threads
omp.exe 2000 1 >> 2000-1.txt,44.414124216,0.8571711638878922,44.095239196,44.215,0.09437500000000001,43.361488446,46.396489746,1
omp.exe 2000 2 >> 2000-2.txt,31.628251755999997,1.4917940664579035,30.787622245999998,46.5759375,0.16312500000000002,30.274420746,34.672256446000006,2
omp.exe 2000 4 >> 2000-4.txt,19.322829145999997,1.8073049843468934,18.316873396,51.843125,0.19593750000000004,17.614275445999997,22.137376846,4
omp.exe 2000 8 >> 2000-8.txt,13.104460155999998,0.12201430825053508,13.102173046,61.186875,0.344375,12.865299346,13.254231046000001,8
omp.exe 2000 16 >> 2000-16.txt,10.915738356000002,0.07958191954836968,10.930691946,81.24625,0.6928125000000002,10.776715046000001,11.010004446,16
