command,mean,stddev,median,user,system,min,max,parameter_threads
omp.exe 100 1 >> txts\100-1.txt,0.010429990893617026,0.0012048111575423308,0.010303726000000001,0.004808843085106377,0.0074634308510638375,0.008480376000000003,0.015947376,1
omp.exe 100 2 >> txts\100-2.txt,0.01465779266666667,0.0016572756079388544,0.014385176000000001,0.004445199275362317,0.00823369565217392,0.012933876000000002,0.029727075999999998,2
omp.exe 100 4 >> txts\100-4.txt,0.015548829383458649,0.0009680430447282799,0.015264076000000003,0.0075093984962405925,0.008752349624060157,0.014298376000000003,0.020965076,4
omp.exe 100 8 >> txts\100-8.txt,0.020478866677966102,0.002562695722839735,0.019502626000000002,0.008736758474576263,0.012484110169491535,0.017848676,0.029842175999999998,8
omp.exe 100 16 >> txts\100-16.txt,0.025911931294117636,0.0019158101144540025,0.025076976,0.008345588235294112,0.02055882352941178,0.023958576000000002,0.032165776,16
