command,mean,stddev,median,user,system,min,max,parameter_threads
omp.exe 4000 1 >> txts\4k-1.txt,390.225677426,0,390.225677426,388.7171875,0.4175,390.225677426,390.225677426,1
omp.exe 4000 2 >> txts\4k-2.txt,266.249277926,0,266.249277926,388.2953125,0.6675,266.249277926,266.249277926,2
omp.exe 4000 4 >> txts\4k-4.txt,159.785795126,0,159.785795126,426.4203125,0.683125,159.785795126,159.785795126,4
omp.exe 4000 8 >> txts\4k-8.txt,462.332311126,0,462.332311126,2317.0609375,11.69875,462.332311126,462.332311126,8
omp.exe 4000 16 >> txts\4k-16.txt,392.89759772599996,0,392.89759772599996,3301.3421875,22.339375,392.89759772599996,392.89759772599996,16
